id,title,type,release_year,age_certification,runtime,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres1,genres2,genres3,genres4,genres5,genres6,genres7,genres8,genres9
tm87233,It's a Wonderful Life,MOVIE,1946,PG,130,['US'],,tt0038650,8.6,467766,27.611,8.261,'drama', 'family', 'fantasy', 'romance', 'comedy',,,,
tm143047,Duck Soup,MOVIE,1933,,69,['US'],,tt0023969,7.8,60933,9.013,7.357,'comedy', 'war',,,,,,,
tm83884,His Girl Friday,MOVIE,1940,,92,['US'],,tt0032599,7.8,60244,14.759,7.433,'drama', 'romance', 'comedy',,,,,,
ts20945,The Three Stooges,SHOW,1934,TV-PG,19,['US'],26,tt0850645,8.5,1149,15.424,7.6,'comedy', 'family',,,,,,,
tm5012,Red River,MOVIE,1948,,133,['US'],,tt0040724,7.8,32210,12.4,7.4,'western', 'drama', 'romance', 'action',,,,,
ts37076,The Jack Benny Program,SHOW,1950,,30,['US'],21,tt0042116,8.6,1529,9.681,7.5,'comedy',,,,,,,,
tm82253,The Best Years of Our Lives,MOVIE,1947,,171,['US'],,tt0038351,8.1,66209,16.056,7.838,'drama', 'romance', 'war',,,,,,
tm88469,The Bishop's Wife,MOVIE,1948,,105,['US'],,tt0039190,7.6,19165,9.671,7.113,'comedy', 'drama', 'fantasy', 'romance',,,,,
tm82560,The Little Foxes,MOVIE,1941,,115,['US'],,tt0033836,7.9,12337,7.215,7.549,'drama', 'romance',,,,,,,
tm160494,Stagecoach,MOVIE,1939,,96,['US'],,tt0031971,7.8,50624,13.939,7.7,'western', 'drama',,,,,,,
tm146745,The Gold Rush,MOVIE,1925,,81,['US'],,tt0015864,8.1,112841,15.889,8.03,'drama', 'comedy', 'romance', 'western', 'family',,,,
tm19248,The General,MOVIE,1926,,79,['US'],,tt0017925,8.1,92935,12.316,8.009,'comedy', 'drama', 'action', 'war', 'western', 'european',,,
tm97735,She Had to Choose,MOVIE,1934,,65,['US'],,tt0025772,6,64,0.6,,'drama',,,,,,,,
tm116781,My Man Godfrey,MOVIE,1936,,95,['US'],,tt0028010,8,24814,8.501,7.56,'comedy', 'drama', 'romance',,,,,,
tm83723,Mr. Bug Goes to Town,MOVIE,1941,G,78,['US'],,tt0033727,6.9,1334,5.03,6.104,'comedy', 'fantasy', 'animation', 'family',,,,,
tm112424,Things to Come,MOVIE,1936,,100,['GB'],,tt0028358,6.6,8451,8.031,6.449,'drama', 'scifi', 'war',,,,,,
tm120863,Dodsworth,MOVIE,1936,,101,['US'],,tt0027532,7.8,9556,7.516,7.195,'drama', 'romance',,,,,,,
tm100333,Broken Blossoms,MOVIE,1919,PG-13,89,['US'],,tt0009968,7.2,10635,10.717,6.9,'drama', 'romance',,,,,,,
tm17025,The Cat and the Canary,MOVIE,1927,,80,['US'],,tt0017739,7.1,3117,4.797,6.852,'comedy', 'horror',,,,,,,
tm19424,Detour,MOVIE,1946,,66,['US'],,tt0037638,7.3,18222,8.861,7.226,'drama', 'thriller', 'crime',,,,,,
tm74259,The Pride of the Yankees,MOVIE,1942,,127,['US'],,tt0035211,7.6,11268,7.618,7.38,'drama', 'romance', 'sport',,,,,,
tm155610,Wuthering Heights,MOVIE,1939,,104,['US'],,tt0032145,7.5,18734,15.933,7.227,'romance', 'drama',,,,,,,
tm63937,The Great Rupert,MOVIE,1950,,88,['US'],,tt0042524,6.4,1373,4.315,5.684,'comedy', 'family',,,,,,,
tm18385,Scarlet Street,MOVIE,1945,,103,['US'],,tt0038057,7.8,17636,9.998,7.6,'drama', 'thriller', 'crime',,,,,,
